tweet_id,retweet_count,favorite_count
892420643555336193,7417,35140
892177421306343426,5517,30411
891815181378084864,3640,22869
891689557279858688,7584,38400
891327558926688256,8166,36651
891087950875897856,2738,18477
890971913173991426,1772,10744
890729181411237888,16596,59129
890609185150312448,3789,25453
890240255349198849,6428,29052
890006608113172480,6450,28021
889880896479866881,4382,25480
889665388333682689,8795,43750
889638837579907072,3933,24585
889531135344209921,1985,13855
889278841981685760,4680,22923
888917238123831296,3939,26562
888804989199671297,3723,23310
888554962724278272,3044,17981
888078434458587136,3049,19877
887705289381826560,4747,27620
887517139158093824,10347,42256
887473957103951883,15799,62579
887343217045368832,9259,30683
887101392804085760,5241,27964
886983233522544640,6717,31697
886736880519319552,2794,10897
886680336477933568,3936,20517
886366144734445568,2781,19268
886267009285017600,3,108
886258384151887873,5564,25521
886054160059072513,96,0
885984800019947520,5902,29700
885528943205470208,5621,32789
885518971528720385,3284,18675
885311592912609280,16258,0
885167619883638784,3847,19966
884925521741709313,15872,70048
884876753390489601,4909,25376
884562892145688576,4130,22156
884441805382717440,5012,24749
884247878851493888,17853,66034
884162670584377345,2631,18613
883838122936631299,3007,19914
883482846933004288,8679,41771
883360690899218434,3235,20688
883117836046086144,5838,33821
882992080364220416,3411,21792
882762694511734784,4292,25757
882627270321602560,5328,25573
882268110199369728,10195,40841
882045870035918850,4285,26717
881906580714921986,2995,22227
881666595344535552,9395,46238
881633300179243008,7,115
881536004380872706,14091,45133
881268444196462592,4669,21238
880935762899988482,2457,15614
880872448815771648,3363,19445
880465832366813184,5470,25967
880221127280381952,3657,24571
880095782870896641,3826,25200
879862464715927552,3068,20421
879674319642796034,10,290
879492040517615616,2789,21443
879415818425184262,39292,96433
879376492567855104,2756,15386
879130579576475649,6008,0
879050749262655488,4149,20590
879008229531029506,2360,17363
878776093423087618,3618,17709
878604707211726852,6223,27454
878404777348136964,1124,0
878316110768087041,5851,0
878281511006478336,1124,7047
878057613040115712,6008,38479
877736472329191424,16698,72202
877611172832227328,70,0
877556246731214848,3354,20741
877316821321428993,4593,25078
877201837425926144,4907,24786
876838120628539392,2944,18939
876537666061221889,4151,21745
876484053909872640,2089,17199
876120275196170240,4115,25634
875747767867523072,3768,22997
875144289856114688,4337,20081
875097192612077568,5391,25152
875021211251597312,4175,23395
874680097055178752,4103,25490
874434818259525634,12859,0
874296783580663808,3658,23886
874057562936811520,3526,20852
874012996292530176,9045,31324
873580283840344065,3496,22230
873337748698140672,1404,0
873213775632977920,1404,6570
872967104147763200,4796,24996
872820683541237760,3304,13553
872620804844003328,3236,19048
872486979161796608,8087,37440
872122724285648897,7208,31449
871879754684805121,9733,34483
871762521631449091,3099,18579
871515927908634625,3101,18561
871166179821445120,5102,0
871102520638267392,4921,19244
871032628920680449,3398,20935
870804317367881728,5526,30957
870726314365509632,3,112
870656317836468226,2327,11318
870374049280663552,23820,76725
870308999962521604,3710,20213
870063196459192321,7438,33653
869772420881756160,9103,39307
869702957897576449,5638,26006
869596645499047938,2784,14723
869227993411051520,3371,18840
868880397819494401,12917,60220
868639477480148993,1847,0
868622495443632128,4739,24551
868552278524837888,1847,9304
867900495410671616,3768,22375
867774946302451713,6597,31411
867421006826221569,2243,14852
867072653475098625,106,0
867051520902168576,7112,29795
866720684873056260,4328,18515
866686824827068416,3118,17813
866450705531457537,31842,113106
866334964761202691,12859,48459
866094527597207552,7563,0
865718153858494464,5090,23829
865359393868664832,4527,24515
865006731092295680,7008,25998
864873206498414592,7866,29902
864279568663928832,2721,13555
864197398364647424,7987,27800
863907417377173506,3761,19146
863553081350529029,3805,14170
863471782782697472,2194,0
863432100342583297,4760,22087
863427515083354112,85,2041
863079547188785154,1010,8162
863062471531167744,2194,7824
862831371563274240,4677,17837
862722525377298433,3229,15913
862457590147678208,4474,18983
862096992088072192,21056,68915
861383897657036800,9765,33613
861288531465048066,3774,15983
861005113778896900,3488,15582
860981674716409858,1953,0
860924035999428608,721,0
860563773140209665,1953,6982
860524505164394496,4836,22065
860276583193509888,3225,17190
860184849394610176,5369,15566
860177593139703809,28297,0
859924526012018688,3767,18320
859851578198683649,3232,14465
859607811541651456,1419,17452
859196978902773760,27664,83827
859074603037188101,12540,31634
858860390427611136,7462,0
858843525470990336,3190,14639
858471635011153920,4488,20242
858107933456039936,2665,14777
857989990357356544,2380,15084
857746408056729600,9813,32094
857393404942143489,1517,5533
857263160327368704,4176,18900
857214891891077121,17,211
857062103051644929,154,0
857029823797047296,3677,17717
856543823941562368,2674,15419
856526610513747968,1748,11214
856330835276025856,620,0
856288084350160898,15,487
856282028240666624,5836,26170
855862651834028034,22,313
855860136149123072,901,4622
855857698524602368,1957,11229
855851453814013952,16840,43373
855818117272018944,5054,25231
855459453768019968,7661,28166
855245323840757760,5532,0
855138241867124737,40,0
854732716440526848,5662,21543
854482394044301312,6369,27653
854365224396361728,4379,17922
854120357044912130,6967,30323
854010172552949760,2944,15437
853760880890318849,5404,27148
853639147608842240,9374,32894
853299958564483072,3335,14735
852936405516943360,1868,0
852912242202992640,1694,8580
852672615818899456,2031,14219
852553447878664193,3265,15493
852311364735569921,9350,31569
852226086759018497,6445,19024
852189679701164033,1499,10957
851861385021730816,19,0
851591660324737024,3271,15543
851464819735769094,6663,23177
851224888060895234,5436,19787
850753642995093505,8556,29392
850380195714523136,2455,12540
850333567704068097,310,3307
850145622816686080,3581,15619
850019790995546112,4604,19547
849776966551130114,7178,29108
849668094696017920,4696,0
849412302885593088,2980,15231
849336543269576704,1787,10939
849051919805034497,8014,40619
848690551926992896,4105,24184
848324959059550208,4378,23736
848213670039564288,678,7844
848212111729840128,2865,15676
847978865427394560,3094,0
847971574464610304,419,0
847962785489326080,4818,22607
847842811428974592,1252,5214
847617282490613760,391,6731
847606175596138505,3253,18064
847251039262605312,4114,19726
847157206088847362,5556,19088
847116187444137987,3035,20668
846874817362120707,3734,19347
846514051647705089,10978,42876
846505985330044928,2923,13602
846153765933735936,8607,30386
846139713627017216,9611,29907
846042936437604353,2726,15406
845812042753855489,8275,28154
845677943972139009,4594,24312
845397057150107648,1701,7351
845306882940190720,5130,22508
845098359547420673,7311,0
844979544864018432,2430,13160
844973813909606400,3026,14502
844580511645339650,2973,15904
844223788422217728,2083,13208
843981021012017153,2827,14678
843856843873095681,4397,20757
843604394117681152,2615,16319
843235543001513987,5734,20797
842846295480000512,3480,14808
842765311967449089,1209,6502
842535590457499648,3365,17544
842163532590374912,5532,23642
842115215311396866,2893,13529
841833993020538882,14376,0
841680585030541313,7513,24974
841439858740625411,3517,12209
